feature_ind,sketch_id
64,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_bear_1_7_shape_bear_1_068
65,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_bear_2_2_shape_bear_2_000
66,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_bear_3_26_shape_bear_3_038
67,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_bear_4_14_shape_bear_4_055
68,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_bear_5_9_shape_bear_5_073
69,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_bear_6_23_shape_bear_6_008
70,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_bear_7_29_shape_bear_7_027
71,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_bear_8_19_shape_bear_8_052
72,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_deer_1_21_shape_deer_1_059
73,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_deer_2_18_shape_deer_2_048
74,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_deer_3_5_shape_deer_3_050
75,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_deer_4_30_shape_deer_4_025
76,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_deer_5_27_shape_deer_5_043
77,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_deer_6_16_shape_deer_6_056
78,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_deer_7_3_shape_deer_7_064
79,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_deer_8_12_shape_deer_8_045
80,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_owl_1_10_shape_owl_1_009
81,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_owl_2_13_shape_owl_2_094
82,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_owl_3_20_shape_owl_3_085
83,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_owl_4_6_shape_owl_4_014
84,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_owl_5_4_shape_owl_5_077
85,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_owl_6_28_shape_owl_6_093
