iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	previous_score	previous_bonus_score	startStrokeTime	endStrokeTime	eventType
testing	2791-f2941370-d855-4070-8bc1-43b0dd0c9cb4	1578594711890	1	waiting_02	M164,191c-23.57806,0 -41.48882,9.97169 -65,-3c-22.79074,-12.5742 -44.63482,-71.49564 -12,-86c25.52554,-11.34469 31.94636,6.6901 50,12c16.96456,4.98958 35.3039,8 53,8	1	0	0	0	1578594711284	1578594711861	stroke
testing	2791-f2941370-d855-4070-8bc1-43b0dd0c9cb4	1578594712693	1	waiting_02	M203,147c-16.33333,0 -32.66667,0 -49,0c-5,0 -10,0 -15,0c-1,0 -4,0 -3,0c9.1857,0 20.02541,-1.49577 29,0c10.06004,1.67667 23.26442,11 33,11	2	0	0	0	1578594712224	1578594712684	stroke
testing	2791-f2941370-d855-4070-8bc1-43b0dd0c9cb4	1578594713828	1	waiting_02	M234,99c0,43.23628 -12.63682,89.8159 -4,133	3	0	0	0	1578594713579	1578594713824	stroke
