iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	previous_score	previous_bonus_score	startStrokeTime	endStrokeTime	eventType
testing	4284-8b190a1f-10a7-421c-a7dc-591ae1e64cbf	1579556659356	1	dining_00	M128,153c0,11.89572 -23.25644,14.44158 -31,11c-15.78485,-7.01549 -22.42206,-26.22061 -24,-42c-4.03251,-40.32506 49,-6.96909 49,19	1	0	0	0	1579556657151	1579556657603	stroke
testing	4284-8b190a1f-10a7-421c-a7dc-591ae1e64cbf	1579556661132	1	dining_00	M156,105c0,46.66667 0,93.33333 0,140	2	0	0	0	1579556659211	1579556659393	stroke
