iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	previous_score	previous_bonus_score	startStrokeTime	endStrokeTime	eventType
testing	8320-679a97b1-0dc9-401d-bea0-3f26b40f21db	1579280101249	1	waiting_02	M190,130c0,-5.50318 -25.4322,-13.3775 -28,-14c-19.1098,-4.63268 -68.50645,-11.70691 -84,6c-14.15901,16.18173 47.35845,36.45735 57,38c5.5955,0.89528 11.33333,0 17,0c1.66667,0 5.47891,-1.59638 5,0c-2.57287,8.57624 -28.23345,24.37747 -25,33c4.26568,11.37515 23.56261,11 33,11	1	0	0	0	1579280097707	1579280098243	stroke
testing	8320-679a97b1-0dc9-401d-bea0-3f26b40f21db	1579280111602	2	waiting_05	M136,99c0,19.40595 -112.29352,20.75313 -82,2c67.04771,-41.50573 145.71899,74.62268 175,123c4.85381,8.01934 9.19261,22.19261 16,29	1	0	3	0.73	1579280108233	1579280108600	stroke
testing	8320-679a97b1-0dc9-401d-bea0-3f26b40f21db	1579280112156	2	waiting_05	M238,129c-16.61695,10.38559 -31.79244,22.97886 -48,34c-29.92374,20.34814 -64.2622,36.2622 -90,62	2	0	3	0.73	1579280109010	1579280109157	stroke
testing	8320-679a97b1-0dc9-401d-bea0-3f26b40f21db	1579280120512	3	dining_01	M198,117c-30.26227,0 -58.96163,-5.86876 -90,-1c-8.41251,1.31961 -53.73017,32.76542 -38,45c28.24028,21.96466 80.57274,20 115,20	1	0	3	0.73	1579280117093	1579280117519	stroke
testing	8320-679a97b1-0dc9-401d-bea0-3f26b40f21db	1579280120914	3	dining_01	M226,145c-20.11055,0 -78.80463,50.10347 -96,63	2	0	3	0.73	1579280117774	1579280117914	stroke
