iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	previous_score	previous_bonus_score	startStrokeTime	endStrokeTime	eventType
testing	0529-57f360b9-559f-49b5-b821-d9f361e71410	1578853270686	1	waiting_05	M172,136c0,9.06765 -16.9792,7.07951 -26,8c-18.8255,1.92097 -53.29651,7.26586 -71,-4c-17.87348,-11.37403 -18.32845,-63.74817 37,-43	1	0	0	0	1578853267511	1578853267806	stroke
testing	0529-57f360b9-559f-49b5-b821-d9f361e71410	1578853270996	1	waiting_05	M171,98c50.41276,0 48,82.72894 48,117	2	0	0	0	1578853267972	1578853268135	stroke
testing	0529-57f360b9-559f-49b5-b821-d9f361e71410	1578853271443	1	waiting_05	M152,217c-48.81198,-9.7624 -68.22506,-29 -123,-29	3	0	0	0	1578853268439	1578853268571	stroke
testing	0529-57f360b9-559f-49b5-b821-d9f361e71410	1578853271757	1	waiting_05	M107,189c47.78516,-2.51501 69.77768,2.38884 113,24	4	0	0	0	1578853268777	1578853268894	stroke
