iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	previous_score	previous_bonus_score	startStrokeTime	endStrokeTime	eventType
testing	1248-835c0105-5932-417f-956d-01248f185f8e	1578594600815	1	waiting_03	M143,112c0,9.66575 -26.64039,68.50874 -47,50c-27.27069,-24.79154 -25.30866,-82.69134 0,-108c24.55873,-24.55873 81.39604,63.18812 88,83	1	0	0	0	1578594600160	1578594600790	stroke
testing	1248-835c0105-5932-417f-956d-01248f185f8e	1578594602094	1	waiting_03	M208,175c0,2.29931 -30.6954,0.98035 -31,1c-23.90992,1.54258 -48.13998,7 -72,7	2	0	0	0	1578594601794	1578594602085	stroke
