iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	previous_score	previous_bonus_score	startStrokeTime	endStrokeTime	eventType
testing	0717-5d104508-bf0b-4af9-a08e-8968be2e64a9	1578939940974	1	dining_07	M235,138c-15.00434,0 -83.36524,21.36524 -92,30	1	0	0	0	1578939936938	1578939937203	stroke
testing	0717-5d104508-bf0b-4af9-a08e-8968be2e64a9	1578939948743	2	waiting_02	M166,96c-18.61395,0 -36.40428,6.70214 -53,15c-49.03627,24.51814 -48.51411,48.43659 -19,86c16.65357,21.19545 32.62856,42.21537 51,62	1	0	0	0	1578939944676	1578939944976	stroke
testing	0717-5d104508-bf0b-4af9-a08e-8968be2e64a9	1578939959463	3	dining_01	M233,190c-32.92388,0 -121.7152,-9.1424 -150,5	1	0	0	0	1578939955377	1578939955699	stroke
