iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	previous_score	previous_bonus_score	startStrokeTime	endStrokeTime	eventType
testing	8297-56af8081-4af7-43df-af3d-52195bdd889f	1578810187938	1	dining_06	M171,65c0,0.4714 -0.5286,1 -1,1c-15.32802,0 -76.16361,18.65444 -80,34c-3.73774,14.95095 62.30457,51.21828 70,82	1	0	0	0	1578810186947	1578810187378	stroke
testing	8297-56af8081-4af7-43df-af3d-52195bdd889f	1578810188622	1	dining_06	M191,116c0,25.9496 22,50.61936 22,78	2	0	0	0	1578810187762	1578810188097	stroke
testing	8297-56af8081-4af7-43df-af3d-52195bdd889f	1578810189391	1	dining_06	M92,193c20.50728,0 41.61127,-1.6311 62,0c13.85367,1.10829 28.47712,8 42,8	3	0	0	0	1578810188517	1578810188854	stroke
