iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	previous_score	previous_bonus_score	startStrokeTime	endStrokeTime	eventType
testing	9419-490ad875-a058-40ab-8bf8-0984e50e8f5d	1578940016307	1	waiting_05	M165,122c-8.85845,0 -56,43.79639 -56,58	1	0	0	0	1578940012340	1578940012546	stroke
testing	9419-490ad875-a058-40ab-8bf8-0984e50e8f5d	1578940028059	2	dining_06	M210,110c-3.41563,3.41563 -27.40509,5.87252 -28,6c-36.02886,7.72047 -68.1525,19.96567 -102,34c-0.1723,0.07144 -32,10.28761 -32,13	1	0	0	0	1578940024096	1578940024298	stroke
testing	9419-490ad875-a058-40ab-8bf8-0984e50e8f5d	1578940040132	3	waiting_03	M202,116c-33.30959,0 -98.99721,49.99814 -129,70	1	0	0	0	1578940036207	1578940036371	stroke
