iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	previous_score	previous_bonus_score	startStrokeTime	endStrokeTime	eventType
testing	5489-cbfb02b5-4560-42f5-be58-118ad47fdaf8	1579280386113	1	waiting_04	M199,121c-22.89357,0 -46.42994,5 -70,5c-0.76609,0 -11,0 -11,0c0,0 9.51833,0 11,0c17.03261,0 31.33402,13.11203 41,26	1	0	0	0	1579280382831	1579280383111	stroke
testing	5489-cbfb02b5-4560-42f5-be58-118ad47fdaf8	1579280386676	1	waiting_04	M185,209c4.75464,0 -23.46123,0 -29,0c-19.7711,0 -41.16087,-2 -60,-2	2	0	0	0	1579280383311	1579280383690	stroke
testing	5489-cbfb02b5-4560-42f5-be58-118ad47fdaf8	1579280406794	2	waiting_05	M198,229c-15.41424,0 -58.99369,55.28121 -74,66c-0.04983,0.03559 -24.98119,17.05644 -27,11c-8.75178,-26.25533 4.47336,-58.94673 16,-82c2.50586,-5.01172 14.46072,-29.53928 24,-20	1	0	0	0	1579280403452	1579280403805	stroke
testing	5489-cbfb02b5-4560-42f5-be58-118ad47fdaf8	1579280422056	3	dining_07	M184,109c-33.74996,0 -91.6164,117.06032 -70,143c16.337,19.60439 59.05128,1.31624 78,-5	1	0	3	0.23	1579280418691	1579280419058	stroke
