iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	previous_score	previous_bonus_score	startStrokeTime	endStrokeTime	eventType
testing	2968-c37ab8eb-8c5d-4c3e-ab99-98fc45a22b7c	1578799263237	1	dining_06	M167,92c-17.4431,0 -78.70448,-7.06267 -86,13c-8.21195,22.58285 41.91747,60.38749 61,66c4.52249,1.33014 9.28595,-2 14,-2c1.28258,0 -3.73161,8.54744 -9,21c-1.57127,3.71391 -15,42.88649 -15,31	1	0	0	0	1578799261519	1578799262101	stroke
testing	2968-c37ab8eb-8c5d-4c3e-ab99-98fc45a22b7c	1578799263755	1	dining_06	M199,131c0,35.66667 0,71.33333 0,107	2	0	0	0	1578799262474	1578799262648	stroke
testing	2968-c37ab8eb-8c5d-4c3e-ab99-98fc45a22b7c	1578799264418	1	dining_06	M219,212c-63.45621,-12.69124 -124.46617,-18 -189,-18	3	0	0	0	1578799263126	1578799263312	stroke
