iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	previous_score	previous_bonus_score	startStrokeTime	endStrokeTime	eventType
testing	9968-67aafce7-7a6d-443c-9450-679787b1c5e8	1580929967382	1	bears_4	M109,111c6.04879,10.08132 12.34401,22.03202 16,33	1	0	0	0	1580929966393	1580929966582	stroke
testing	9968-67aafce7-7a6d-443c-9450-679787b1c5e8	1580929976161	2	owls_1	M151,184c5.82423,-5.82423 39.27227,16.41782 45,21	1	0	0	0	1580929975196	1580929975365	stroke
testing	9968-67aafce7-7a6d-443c-9450-679787b1c5e8	1580930000915	3	deer_2	M153,-26c34.66667,71.33333 45.5754,160.3643 104,214c40.20816,36.91241 -28.88058,-105.27558 -43,-158c-12.21416,-45.60985 -24,-91.33333 -36,-137	1	1	3	0.83	1580929991051	1580930000120	stroke
